           flux         loglam           ivar
              E              E              E
                                             
   1.715184E+01   3.621000E+00   2.488899E-01
   1.336726E+01   3.621100E+00   2.518564E-01
   1.692720E+01   3.621200E+00   2.455887E-01
   1.439175E+01   3.621300E+00   2.624856E-01
   1.387054E+01   3.621400E+00   2.584966E-01
   1.510432E+01   3.621500E+00   2.575800E-01
   1.536518E+01   3.621600E+00   2.696114E-01
   1.518740E+01   3.621700E+00   2.765107E-01
   1.662284E+01   3.621800E+00   2.668030E-01
   1.757693E+01   3.621900E+00   2.606761E-01
   1.654855E+01   3.622000E+00   2.713399E-01
   1.514567E+01   3.622100E+00   2.775507E-01
   1.194907E+01   3.622200E+00   2.706659E-01
   1.557924E+01   3.622300E+00   2.489937E-01
   1.902956E+01   3.622400E+00   2.309682E-01
   1.913002E+01   3.622500E+00   2.495624E-01
   1.664786E+01   3.622600E+00   2.654170E-01
   1.591913E+01   3.622700E+00   2.667963E-01
   1.565705E+01   3.622800E+00   2.668627E-01
   1.662149E+01   3.622900E+00   2.577110E-01
   1.805437E+01   3.623000E+00   2.497177E-01
   1.794125E+01   3.623100E+00   2.485899E-01
   1.884018E+01   3.623200E+00   2.435463E-01
   2.070027E+01   3.623300E+00   2.233208E-01
   1.680755E+01   3.623400E+00   2.402250E-01
   2.041242E+01   3.623500E+00   2.382337E-01
   2.046925E+01   3.623600E+00   2.466056E-01
   1.707594E+01   3.623700E+00   2.787186E-01
   1.961487E+01   3.623800E+00   2.600711E-01
   1.963065E+01   3.623900E+00   2.468458E-01
   2.106712E+01   3.624000E+00   2.329649E-01
   2.034739E+01   3.624100E+00   2.191558E-01
   1.815993E+01   3.624200E+00   2.237159E-01
   1.786141E+01   3.624300E+00   2.378914E-01
   1.913556E+01   3.624400E+00   2.496240E-01
   2.123790E+01   3.624500E+00   2.541083E-01
   1.819335E+01   3.624600E+00   2.644836E-01
   1.982502E+01   3.624700E+00   2.516751E-01
   1.645869E+01   3.624800E+00   2.549416E-01
   2.034755E+01   3.624900E+00   2.375857E-01
   1.553370E+01   3.625000E+00   2.607268E-01
   1.557707E+01   3.625100E+00   2.817731E-01
   1.522156E+01   3.625200E+00   2.949793E-01
   1.529461E+01   3.625300E+00   2.899325E-01
   1.740577E+01   3.625400E+00   2.824019E-01
   1.653261E+01   3.625500E+00   2.899372E-01
   1.380892E+01   3.625600E+00   2.928407E-01
   1.639361E+01   3.625700E+00   2.627532E-01
   1.855688E+01   3.625800E+00   2.626434E-01
   1.478530E+01   3.625900E+00   2.895507E-01
   1.822476E+01   3.626000E+00   2.605937E-01
   1.599222E+01   3.626100E+00   2.750567E-01
   1.353989E+01   3.626200E+00   2.964543E-01
   1.431753E+01   3.626300E+00   2.935427E-01
   1.677311E+01   3.626400E+00   2.872802E-01
   1.705067E+01   3.626500E+00   2.863776E-01
   1.411311E+01   3.626600E+00   3.029343E-01
   1.373681E+01   3.626700E+00   3.012010E-01
   1.604595E+01   3.626800E+00   2.834172E-01
   1.524910E+01   3.626900E+00   2.738289E-01
   1.722023E+01   3.627000E+00   2.686004E-01
   1.719460E+01   3.627100E+00   2.859878E-01
   1.476789E+01   3.627200E+00   3.212795E-01
   1.421609E+01   3.627300E+00   3.202620E-01
   1.173745E+01   3.627400E+00   3.362498E-01
   1.338869E+01   3.627500E+00   3.067787E-01
   1.795236E+01   3.627600E+00   2.723323E-01
   1.542636E+01   3.627700E+00   2.789395E-01
   1.258324E+01   3.627800E+00   3.117233E-01
   1.299900E+01   3.627900E+00   3.387141E-01
   1.301775E+01   3.628000E+00   3.204486E-01
   1.363573E+01   3.628100E+00   3.026767E-01
   1.280192E+01   3.628200E+00   3.017432E-01
   1.680540E+01   3.628300E+00   2.621112E-01
   1.226046E+01   3.628400E+00   2.759314E-01
   1.370163E+01   3.628500E+00   2.763870E-01
   1.244476E+01   3.628600E+00   3.013526E-01
   1.373594E+01   3.628700E+00   2.922327E-01
   1.193438E+01   3.628800E+00   3.067402E-01
   1.337576E+01   3.628900E+00   3.064218E-01
   1.461649E+01   3.629000E+00   2.925058E-01
   1.360457E+01   3.629100E+00   2.784022E-01
   1.470908E+01   3.629200E+00   2.731662E-01
   1.752213E+01   3.629300E+00   2.790130E-01
   1.691560E+01   3.629400E+00   2.862960E-01
   1.239502E+01   3.629500E+00   3.181272E-01
   1.123057E+01   3.629600E+00   3.275894E-01
   1.322928E+01   3.629700E+00   3.121818E-01
   1.874069E+01   3.629800E+00   2.636368E-01
   1.392133E+01   3.629900E+00   2.822295E-01
